,Pais,Estado,Ciudad,Zona,Área Construida,Tipo de inmueble,Tipo de negocio,valor,periodo,moneda,imagen,caracteristicas
11, Mexico,"[' Nuevo León', ' Usado']", Escobedo, Cerradas De Anahuac, 235.22 m², Local , RENTA ,63509,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMjA0MTUxMjAxNTEuanBnIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Colegios / Universidades', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
12, Mexico,"[' Tamaulipas', ' Usado']", Reynosa, Jarachinas, 400 m², Local , RENTA ,60000,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMDExMDMwNjI0MzAucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Centros comerciales', 'Cerca zona urbana', 'Colegios / Universidades', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona industrial', 'Zona residencial']"
13, Mexico,"[' Aguascalientes', ' Usado']", Aguascalientes, Pulgas Pandas,, Terreno , RENTA ,58000,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMDExMDgwNjQ1MDIucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
14, Mexico,"[' Nuevo León', ' Nuevo']", Apodaca, Las Margaritas,, Terreno , RENTA ,57989,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMTA5MTUwOTM4MzYuanBnIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Centros comerciales', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
15, Mexico,"[' Nuevo León', ' Usado']", Monterrey,, 198 m², Local , RENTA ,49702,Mensual,PesosMexicanos,,[]
16, Mexico,"[' Tamaulipas', ' Usado']", Nuevo Laredo, Campestre, 150 m², Local , RENTA ,49500,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMDExMDQwMTA0MjMucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
17, Mexico,"[' Nuevo León', ' Usado']", San Nicolás de los Garza, Las Puentes, 204 m², Local , RENTA ,49063,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMTIwMjAxMTA2MTI1MjA1LmpwZyIsImVkaXRzIjp7Im5vcm1hbGlzZSI6dHJ1ZSwicm90YXRlIjowLCJyZXNpemUiOnsid2lkdGgiOjkwMCwiaGVpZ2h0Ijo2NzUsImZpdCI6ImNvbnRhaW4iLCJiYWNrZ3JvdW5kIjp7InIiOjI1NSwiZyI6MjU1LCJiIjoyNTUsImFscGhhIjoxfX19fQ==,"['Acceso pavimentado', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
18, Mexico,"[' Nuevo León', ' Usado']", San Nicolás de los Garza, Las Puentes, 197 m², Local , Renta ,47460,Mensual,PesosMexicanos,,[]
19, Mexico,"[' Nuevo León', ' Usado']", Monterrey, Gonzalitos, 140 m², Local , Renta ,46200,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcyMjAyMjA2MjIwMjQxMjEucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Colegios / Universidades', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
20, Mexico,"[' Coahuila', ' Nuevo']", Torreón, Senderos,, Terreno , Renta ,45028,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMTA5MjgwMzU4NTkucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Colegios / Universidades', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
21, Mexico,"[' Coahuila', ' Usado']", Torreón, Senderos, 237 m², Local , Renta ,42660,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMDExMDQwMjAyNDcucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Colegios / Universidades', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
22, Mexico,"[' Nuevo León', ' Usado']", Juárez, San Roque,, Local , Renta ,41093,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMDExMDMwNTU4NDkucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
23, Mexico,"[' Nuevo León', ' Usado']", Santa Catarina, La Puerta, 121.87 m², Local , Renta ,40948,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMTA5MTkwNzAwMTQucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Centros comerciales', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
24, Mexico,"[' Nuevo León', ' Usado']", Monterrey,, 121 m², Local , Renta ,40948,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMTAyMDgxMjIxMTQucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,[]
25, Mexico,"[' Nuevo León', ' Nuevo']", Apodaca, Las Margaritas, 289.33 m², Local , Renta ,40507,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcxMjAyMTA5MTUwOTMxNDAuanBnIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
26, Mexico,"[' Tamaulipas', ' Usado']", Reynosa, Bugambilias, 450 m², Terreno , Renta ,40500,Mensual,PesosMexicanos,https://image.wasi.co/eyJidWNrZXQiOiJzdGF0aWN3Iiwia2V5IjoiaW5tdWVibGVzXC9nNTk0MDcyMjAyMDExMDMwNjM3NDEucG5nIiwiZWRpdHMiOnsibm9ybWFsaXNlIjp0cnVlLCJyb3RhdGUiOjAsInJlc2l6ZSI6eyJ3aWR0aCI6OTAwLCJoZWlnaHQiOjY3NSwiZml0IjoiY29udGFpbiIsImJhY2tncm91bmQiOnsiciI6MjU1LCJnIjoyNTUsImIiOjI1NSwiYWxwaGEiOjF9fX19,"['Acceso pavimentado', 'Cerca zona urbana', 'Parqueadero visitantes', 'Sobre vía principal', 'Trans. público cercano', 'Vigilancia', 'Zona comercial', 'Zona residencial']"
