,id,Lat,Lon,Name,Adress,Phone,nsel,estado,ciudad
97,376,19.658847,-99.033417,TecamacII(Pr&#243,"Peras32,OjodeAgua,55770,OjodeAgua",NaN,125,Jalisco,Cancún
98,202,19.6564007516111,-99.1226276441803,Tultepec,"VenustianoCarranza59,SantiagoTeyahualco,54980,Tultepec",62850464,127,Jalisco,Merida
99,200,19.290066,-99.638282,MiguelHidalgo(Toluca),"MiguelHidalgo1301,Col.ReformayferrocarrilesNacionales,50070,Toluca",62850462,129,Jalisco,Merida
100,201,19.279038,-99.658437,PaseoCol&#243,"MiguelHidalgo1301,Col.ReformayferrocarrilesNacionales,50070,Toluca",NaN,130,Jalisco,Merida
101,383,19.3136581,-99.5878959,TolucaCentro(PROX),"Hidalgo115,SantaClara,50090,TOLUCA",,131,Jalisco,Merida
102,226,19.3308416198851,-98.8738361951065,LosH&#233,"Hidalgo115,SantaClara,50090,TOLUCA",NaN,133,Jalisco,Merida
103,386,19.641153,-99.302506,Nicol&#225,"Hidalgo115,SantaClara,50090,TOLUCA",NaN,135,Jalisco,Merida
104,203,20.126499,-98.731792,Centro(Pachuca),"Matamoros203,Centro,42000,Pachuca",62850470,138,Jalisco,Merida
105,204,20.114256,-98.745133,PlazaBella(Pachuca),"Blvd.EverardoMarquez101,PlazaBella,42060,Pachuca",62850471,139,Jalisco,Merida
106,205,20.1162949311511,-98.7257520171967,Madero(Pachuca),"AlfonsoG.Alarcon2011,NuevaFranciscoI.Madero,42090,Pachuca",62850475,140,Jalisco,Merida
107,206,20.064198,-98.779779,Feria(Pachuca),"Av.NuevoPachuca500,Col.ParqueUrbanoPachoac&#225",NaN,141,Jalisco,Merida
108,207,20.103638,-98.750962,SanJavier(Pachuca),"Blvd.ValledeSanJavier101,ExHaciendadeCoscotitl&#225",NaN,142,Jalisco,Merida
109,208,20.585468,-100.399803,Zaragoza(QRO),"ZaragozaPoniente79,Centro,76000,SantiagodeQuer&#233",NaN,145,Jalisco,Merida
110,209,20.6390176455295,-100.447267453967,Av.delaLuz(Quer&#233,"ZaragozaPoniente79,Centro,76000,SantiagodeQuer&#233",NaN,146,Jalisco,Merida
111,211,20.605902,-100.431791,ElTintero(Quer&#233,"ZaragozaPoniente79,Centro,76000,SantiagodeQuer&#233",NaN,147,Jalisco,Merida
112,219,20.632912,-100.405618,PiedelaCuesta,"PiedelaCuestasn,EpigmenioGonz&#225",NaN,148,Jalisco,Merida
113,377,20.588311,-100.337442,ElMarqu&#233,"PiedelaCuestasn,EpigmenioGonz&#225",NaN,149,Jalisco,Merida
114,367,32.387169,-116.939639,NATURA(PROXIMAMENTE),"BosquesTemplarios,sn,NaturaSeccionBosques,22163,Tijuana",62850400,152,QuintanaRoo,Merida
115,369,32.490777,-116.92827,BOULEVARDINSURGENTES,"AvdelosInsurgentes18155,RioTijuana3raEtapa,22226,Tijuana",62850400,153,QuintanaRoo,Merida
116,379,32.4966018,-116.9639539,TijuanaDiazOrdaz,"BoulevardDiazOrdaz14715,ChapultepecCalifornia,22117,Tijuana",,154,QuintanaRoo,Merida
117,381,32.442883,-117.036467,SantaFeII(PROXIMAMENTE]),"Fracc.VillaresidencialSantaFe9,Tijuana,22654,VillaresidencialSantaFe",,155,QuintanaRoo,Merida
118,227,20.666508,-103.351614,16deSeptiembre,"16deSeptiembre1126,Mexicaltzingo,44180,Guadalajara",62850400,158,Yucatán,Merida
119,228,20.684664,-103.337036,Independencia(PR&#211,"16deSeptiembre1126,Mexicaltzingo,44180,Guadalajara",NaN,159,Yucatán,Merida
120,229,20.649028,-103.319498,R&#237,"16deSeptiembre1126,Mexicaltzingo,44180,Guadalajara",NaN,160,Yucatán,Merida
121,360,21.126889,-86.877639,ARCOKABAH,"LaRiojas/n,Canc&#250",NaN,163,Yucatán,Merida
122,362,21.134059,-86.854516,AVLALUNA,"Tepich506,SinNombre,77533,Canc&#250",NaN,164,Yucatán,Merida
123,364,21.179892,-86.863155,CAIMANES(PROXIMAMENTE),"Av.Kabah226,SinNombre,77516,Canc&#250",NaN,165,Yucatán,Merida
124,380,20.9954375,-89.6009375,Merida(PROXIMAMENTE),"FelipeCarrilloPuerto266,Merida,97208,Yucatan",,168,Yucatán,Merida
