,id,lat,lng,thumbnail,available_sqm,num_spaces_value,min_rent_price_space_value,min_sale_price_space_value,label,building_slug,url_path,url_ws
33,5894,25.92079935,-100.2291514,https://solili.s3.amazonaws.com/media/PI-5894_thumbnail_1623996811.jpg,"4,999 m²",1,MXN $80+ m²/mes,"MXN $1,022+ m²","4,999 m²",/naves/nave-b-monterrey-mty/5894/,/nave-en-renta/nave-b-monterrey-mty/2471/,/ws/search/space-detail/industrial/2471/
34,16707,25.697579,-100.554428,https://solili.s3.amazonaws.com/media/PI-16707_thumbnail_1565112519.jpg,"3,359 m²",1,MXN $70+ m²/mes,MXN $912+ m²,"3,359 m²",/naves/nave-1-monterrey-mty/16707/,/nave-en-venta/nave-1-monterrey-mty/1815/,/ws/search/space-detail/industrial/1815/
35,28659,25.704153,-100.492072,https://solili.s3.amazonaws.com/media/PI-28659_thumbnail_1616431908.jpg,"3,999 m²",1,,,"3,999 m²",/naves/building-1-monterrey-mty/28659/,/nave-en-venta/building-1-monterrey-mty/2226/,/ws/search/space-detail/industrial/2226/
36,26656,19.118767,-98.265282,https://solili.s3.amazonaws.com/media/PI-26656_thumbnail_1591901665.jpg,"10,825 m²",1,,,"10,825 m²",/naves/san-francisco-ocotlan-puebla-pue/26656/,/nave-en-venta/san-francisco-ocotlan-puebla-pue/1808/,/ws/search/space-detail/industrial/1808/
37,9927,20.567089791185506,-100.29397606139071,https://solili.s3.amazonaws.com/media/PI-9927_thumbnail_1631203556.jpg,"667,454 m²",1,,USD $100+ m²,"667,454 m²",/naves/terrenos-queretaro-park-vi-el-marques-queretaro-que/9927/,/nave-en-venta/terrenos-queretaro-park-vi-el-marques-queretaro-que/672/,/ws/search/space-detail/industrial/672/
38,31445,20.81417,-100.429493,https://solili.s3.amazonaws.com/media/PI-31445_thumbnail_1649890903.jpg,"4,039 m²",1,,USD $740+ m²,"4,039 m²",/naves/cerrada-la-noria-queretaro-que/31445/,/nave-en-venta/cerrada-la-noria-queretaro-que/3219/,/ws/search/space-detail/industrial/3219/
39,29314,22.045257,-100.890542,https://solili.s3.amazonaws.com/media/PI-29314_thumbnail_1654713275.jpg,"5,016 m²",1,USD $4.80+ m²/mes,USD $468+ m²,"5,016 m²",/naves/inventario-5000-22-san-luis-potosi-slp/29314/,/nave-en-renta/inventario-5000-22-san-luis-potosi-slp/3076/,/ws/search/space-detail/industrial/3076/
40,23148,25.8400143865,-97.4433225624,https://solili.s3.amazonaws.com/media/PI-23148_thumbnail_1602626442.jpg,"6,414 m²",1,,USD $33+ m²,"6,414 m²",/naves/bodega-planta-1-matamoros-mat/23148/,/nave-en-venta/bodega-planta-1-matamoros-mat/2353/,/ws/search/space-detail/industrial/2353/
41,23150,25.8395928973,-97.4452891919,https://solili.s3.amazonaws.com/media/PI-23150_thumbnail_1602625552.jpg,"9,487 m²",1,,USD $31+ m²,"9,487 m²",/naves/bodega-planta-4-matamoros-mat/23150/,/nave-en-venta/bodega-planta-4-matamoros-mat/2351/,/ws/search/space-detail/industrial/2351/
42,23897,26.043255535,-98.3107711742,https://solili.s3.amazonaws.com/media/PI-23897_thumbnail_1605722255.jpg,"5,000 m²",1,,MXN $502+ m²,"5,000 m²",/naves/bodega-ii-reynosa-rey/23897/,/nave-en-venta/bodega-ii-reynosa-rey/2388/,/ws/search/space-detail/industrial/2388/
43,25636,25.94242,-97.775539,https://solili.s3.amazonaws.com/media/PI-25636_thumbnail_1573831468.jpg,"5,000 m²",1,,,"5,000 m²",/naves/mervis-industries-de-mexico/25636/,/nave-en-venta/mervis-industries-de-mexico/1563/,/ws/search/space-detail/industrial/1563/
44,28893,19.30800208054636,-98.39704721498894,https://solili.s3.amazonaws.com/media/PI-28893_thumbnail_1613590323.jpg,"164,950 m²",1,,"MXN $1,031+ m²","164,950 m²",/naves/-puebla-pue/28893/,/nave-en-venta/-puebla-pue/2597/,/ws/search/space-detail/industrial/2597/
