,id,solili_id,thumbnail,leasing_company,building_id,building_name,space_slug,building_municipality_address,divisible_minimum,available_sqm,rent_price,rent_currency,sale_price,sale_currency,industrial_park,market,all_confirmed,is_favorite,space_membership,is_for_rent,Estado
6349,22293,SO-22293,https://solili.s3.amazonaws.com/media/PO-4074_thumbnail_1638941745.jpg,,4074,Orvit Torre II,/oficina-en-renta/orvit-torre-ii-queretaro-que/22293/,,239.25,264.0,MXN,,,PH,Queretaro,True,False,5,True,False,Querétaro
6350,22294,SO-22294,https://solili.s3.amazonaws.com/media/PO-4074_thumbnail_1638941745.jpg,,4074,Orvit Torre II,/oficina-en-venta/orvit-torre-ii-queretaro-que/22294/,,145.41,335.0,MXN,40234.0,MXN,PH,Queretaro,True,False,5,True,True,Querétaro
6351,22295,SO-22295,https://solili.s3.amazonaws.com/media/SO-22295_thumbnail_1657749184.jpg,,4074,Orvit Torre II,/oficina-en-renta/orvit-torre-ii-queretaro-que/22295/,,153.51,264.0,MXN,,,PH,Queretaro,True,False,5,True,False,Querétaro
6352,22315,SO-22315,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/22315/,,31.45,282.99,MXN,,,8,Queretaro,True,False,5,True,False,Querétaro
6353,22334,SO-22334,https://solili.s3.amazonaws.com/media/PO-4169_thumbnail_1623870545.jpg,,4169,Alamos Business Center,/oficina-en-renta/alamos-business-center-queretaro-que/22334/,,1627.24,330.0,MXN,,,4,Queretaro,True,False,5,True,False,Querétaro
6354,22335,SO-22335,https://solili.s3.amazonaws.com/media/PO-4169_thumbnail_1623870545.jpg,,4169,Alamos Business Center,/oficina-en-renta/alamos-business-center-queretaro-que/22335/,,1627.24,330.0,MXN,,,5,Queretaro,True,False,5,True,False,Querétaro
6355,22342,SO-22342,https://solili.s3.amazonaws.com/media/PO-4105_thumbnail_1557439665.jpg,,4105,Luma Capital,/oficina-en-renta/luma-capital-queretaro-que/22342/,,42.9,198.14,MXN,,,2,Queretaro,True,False,5,True,False,Querétaro
6356,22486,SO-22486,https://solili.s3.amazonaws.com/media/PO-4293_thumbnail_1654880531.jpg,,4293,Milenio III,/oficina-en-venta/milenio-iii-queretaro-que/22486/,275.0,275.0,145.46,MXN,23636.36,MXN,6,Queretaro,True,False,5,True,True,Querétaro
6357,22659,SO-22659,https://solili.s3.amazonaws.com/media/PO-4155_thumbnail_1639438995.jpg,,4155,Pabellón Ejecutivo Juriquilla,/oficina-en-renta/pabellon-ejecutivo-juriquilla-queretaro-que/22659/,,25.0,408.0,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6358,22660,SO-22660,https://solili.s3.amazonaws.com/media/PO-4155_thumbnail_1639438995.jpg,,4155,Pabellón Ejecutivo Juriquilla,/oficina-en-renta/pabellon-ejecutivo-juriquilla-queretaro-que/22660/,,28.0,408.0,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6359,22661,SO-22661,https://solili.s3.amazonaws.com/media/PO-4155_thumbnail_1639438995.jpg,,4155,Pabellón Ejecutivo Juriquilla,/oficina-en-renta/pabellon-ejecutivo-juriquilla-queretaro-que/22661/,,26.0,408.0,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6360,22662,SO-22662,https://solili.s3.amazonaws.com/media/PO-4155_thumbnail_1639438995.jpg,,4155,Pabellón Ejecutivo Juriquilla,/oficina-en-renta/pabellon-ejecutivo-juriquilla-queretaro-que/22662/,,26.0,408.0,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6361,22663,SO-22663,https://solili.s3.amazonaws.com/media/PO-4155_thumbnail_1639438995.jpg,,4155,Pabellón Ejecutivo Juriquilla,/oficina-en-renta/pabellon-ejecutivo-juriquilla-queretaro-que/22663/,,28.0,408.0,MXN,,,1,Queretaro,False,False,5,True,False,Querétaro
6362,22685,SO-22685,https://solili.s3.amazonaws.com/media/PO-5180_thumbnail_1643069719.jpg,,5180,Plaza El Trébol,/oficina-en-renta/plaza-el-trebol-queretaro-que/22685/,,58.0,306.89,MXN,,,PB,Queretaro,False,False,5,True,False,Querétaro
6363,22686,SO-22686,https://solili.s3.amazonaws.com/media/PO-5180_thumbnail_1643069719.jpg,,5180,Plaza El Trébol,/oficina-en-renta/plaza-el-trebol-queretaro-que/22686/,,70.5,300.0,MXN,,,PB,Queretaro,False,False,5,True,False,Querétaro
6364,22691,SO-22691,https://solili.s3.amazonaws.com/media/PO-5180_thumbnail_1643069719.jpg,,5180,Plaza El Trébol,/oficina-en-renta/plaza-el-trebol-queretaro-que/22691/,,88.0,300.0,MXN,,,PB,Queretaro,False,False,5,True,False,Querétaro
6365,22994,SO-22994,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-venta/orvit-torre-i-queretaro-que/22994/,,83.15,228.5,MXN,43295.25,MXN,PB,Queretaro,True,False,5,True,True,Querétaro
6366,22995,SO-22995,https://solili.s3.amazonaws.com/media/PO-4073_thumbnail_1638941791.jpg,,4073,Orvit Torre I,/oficina-en-renta/orvit-torre-i-queretaro-que/22995/,,131.2,301.07,MXN,,,Mezzanine,Queretaro,True,False,5,True,False,Querétaro
